Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,Curation Report
4,HA,CY066919,Yes,1734,H1N1,8-12-2009,IRD:Human,USA,Florida,09-Oct,A/Pensacola/INS234/2009,Pass
4,HA,CY061914,Yes,1734,H1N1,8-12-2009,IRD:Human,USA,New York,09-Oct,A/New York/6907/2009(H1N1),Pass
4,HA,CY058380,Yes,1720,H1N1,8-12-2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D00780/2009(H1N1),Pass
4,HA,CY065099,Yes,1734,H1N1,8-12-2009,IRD:Human,USA,New York,09-Oct,A/New York/7426/2009(H1N1),Pass
4,HA,CY061011,Yes,1734,H1N1,8-12-2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS387/2009(H1N1),Pass
4,HA,JN171908,No,1701,H1N1,8-12-2009,IRD:Human,Canada,-N/A-,09-Oct,A/Quebec/QC002941/2009,Pass
4,HA,CY058388,Yes,1734,H1N1,9-12-2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D00147/2009(H1N1),Pass
4,HA,KC780199,No,1701,H1N1,9-12-2009,IRD:Human,USA,Colorado,09-Oct,A/Colorado/17/2009,Pass
4,HA,CY058364,Yes,1721,H1N1,9-12-2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D00689/2009(H1N1),Pass
4,HA,CY061906,Yes,1734,H1N1,10-12-2009,IRD:Human,USA,New York,09-Oct,A/New York/6903/2009(H1N1),Pass
4,HA,KC780405,No,1701,H1N1,10-12-2009,IRD:Human,USA,Indiana,09-Oct,A/Indiana/21/2009,Pass
4,HA,CY058030,Yes,1734,H1N1,10-12-2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D00636/2009(H1N1),Pass
4,HA,KC780222,No,1701,H1N1,10-12-2009,IRD:Human,USA,Florida,09-Oct,A/Florida/31/2009,Pass
4,HA,CY061019,Yes,1734,H1N1,11-12-2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS388/2009(H1N1),Pass
4,HA,KC780629,No,1701,H1N1,11-12-2009,IRD:Human,USA,Vermont,09-Oct,A/Vermont/29/2009,Pass
4,HA,CY061978,Yes,1734,H1N1,11-12-2009,IRD:Human,USA,New York,09-Oct,A/New York/6977/2009(H1N1),Pass
4,HA,CY061930,Yes,1734,H1N1,11-12-2009,IRD:Human,USA,New York,09-Oct,A/New York/6939/2009(H1N1),Pass
4,HA,CY063630,Yes,1734,H1N1,11-12-2009,IRD:Human,USA,New York,09-Oct,A/New York/INS151/2009(H1N1),Pass
4,HA,CY061922,Yes,1734,H1N1,11-12-2009,IRD:Human,USA,New York,09-Oct,A/New York/6937/2009(H1N1),Pass
4,HA,CY061954,Yes,1734,H1N1,11-12-2009,IRD:Human,USA,New York,09-Oct,A/New York/6945/2009(H1N1),Pass
4,HA,CY099330,No,1701,H1N1,11-12-2009,IRD:Human,USA,Kentucky,09-Oct,A/Kentucky/136/2009,Pass
4,HA,CY058372,Yes,1720,H1N1,12-12-2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D01244/2009(H1N1),Pass
4,HA,KC780699,No,1701,H1N1,12-12-2009,IRD:Human,USA,Vermont,09-Oct,A/Vermont/28/2009,Pass
4,HA,KC780391,No,1701,H1N1,12/13/2009,IRD:Human,USA,Maryland,09-Oct,A/Maryland/36/2009,Pass
4,HA,KC780939,No,1701,H1N1,12/14/2009,IRD:Human,USA,Washington,09-Oct,A/Washington/73/2009,Pass
4,HA,CY061994,Yes,1721,H1N1,12/14/2009,IRD:Human,USA,New York,09-Oct,A/New York/7020/2009(H1N1),Pass
4,HA,CY061970,Yes,1734,H1N1,12/14/2009,IRD:Human,USA,New York,09-Oct,A/New York/6976/2009(H1N1),Pass
4,HA,CY058420,Yes,1734,H1N1,12/14/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D01904/2009(H1N1),Pass
4,HA,CY061962,Yes,1734,H1N1,12/14/2009,IRD:Human,USA,New York,09-Oct,A/New York/6949/2009(H1N1),Pass
4,HA,CY058452,Yes,1734,H1N1,12/14/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D01846/2009(H1N1),Pass
4,HA,CY066335,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL120/2009(H1N1),Pass
4,HA,CY066327,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL119/2009(H1N1),Pass
4,HA,CY058428,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D01752/2009(H1N1),Pass
4,HA,CY066343,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL121/2009(H1N1),Pass
4,HA,CY066351,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL122/2009(H1N1),Pass
4,HA,CY066359,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL123/2009(H1N1),Pass
4,HA,CY058476,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D02424/2009(H1N1),Pass
4,HA,CY090097,No,1734,H1N1,12/15/2009,IRD:Human,USA,Massachusetts,09-Oct,A/Boston/706/2009,Pass
4,HA,CY058468,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D00337/2009(H1N1),Pass
4,HA,CY072326,Yes,1734,H1N1,12/15/2009,IRD:Human,USA,New Jersey,09-Oct,A/Newark/INS318/2009(H1N1),Pass
4,HA,KC782235,No,1701,H1N1,12/16/2009,IRD:Human,USA,Michigan,09-Oct,A/Michigan/29/2009,Pass
4,HA,CY061027,Yes,1734,H1N1,12/16/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS389/2009(H1N1),Pass
4,HA,KC780463,No,1701,H1N1,12/16/2009,IRD:Human,USA,Mississippi,09-Oct,A/Mississippi/09/2009,Pass
4,HA,KC780644,No,1701,H1N1,12/16/2009,IRD:Human,USA,Connecticut,09-Oct,A/Connecticut/18/2009,Pass
4,HA,KC780487,No,1701,H1N1,12/16/2009,IRD:Human,USA,Tennessee,09-Oct,A/Tennessee/19/2009,Pass
4,HA,CY061986,Yes,1734,H1N1,12/16/2009,IRD:Human,USA,New York,09-Oct,A/New York/7019/2009(H1N1),Pass
4,HA,CY062002,Yes,1721,H1N1,12/16/2009,IRD:Human,USA,New York,09-Oct,A/New York/7036/2009(H1N1),Pass
4,HA,CY058404,Yes,1734,H1N1,12/16/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D01038/2009(H1N1),Pass
4,HA,CY058460,Yes,1734,H1N1,12/16/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D00996/2009(H1N1),Pass
4,HA,CY058444,Yes,1734,H1N1,12/16/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D02073/2009(H1N1),Pass
4,HA,KC780446,No,1701,H1N1,12/17/2009,IRD:Human,USA,Virginia,09-Oct,A/Virginia/27/2009,Pass
4,HA,CY072318,Yes,1734,H1N1,12/17/2009,IRD:Human,USA,New York,09-Oct,A/New York/INS317/2009(H1N1),Pass
4,HA,CY058436,Yes,1734,H1N1,12/17/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D01556/2009(H1N1),Pass
4,HA,KC780429,No,1701,H1N1,12/17/2009,IRD:Human,USA,Virginia,09-Oct,A/Virginia/27/2009,Pass
4,HA,KC782331,No,1701,H1N1,12/17/2009,IRD:Human,USA,Kansas,09-Oct,A/Kansas/25/2009,Pass
4,HA,KC781232,No,1701,H1N1,12/18/2009,IRD:Human,USA,Maine,09-Oct,A/Maine/14/2009,Pass
4,HA,CY058412,Yes,1734,H1N1,12/18/2009,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/629-D00459/2009(H1N1),Pass
4,HA,KC780572,No,1701,H1N1,12/19/2009,IRD:Human,USA,Delaware,09-Oct,A/Delaware/18/2009,Pass
4,HA,CY061035,Yes,1734,H1N1,12/20/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS390/2009(H1N1),Pass
4,HA,CY065091,Yes,1734,H1N1,12/20/2009,IRD:Human,USA,New York,09-Oct,A/New York/7425/2009(H1N1),Pass
4,HA,CY062018,Yes,1721,H1N1,12/21/2009,IRD:Human,USA,New York,09-Oct,A/New York/7216/2009(H1N1),Pass
4,HA,KC781271,No,1701,H1N1,12/21/2009,IRD:Human,USA,New York,09-Oct,A/New York/109/2009,Pass
4,HA,JN171947,No,1701,H1N1,12/21/2009,IRD:Human,Canada,-N/A-,09-Oct,A/Montreal/MTL307782/2009,Pass
4,HA,CY066399,Yes,1734,H1N1,12/22/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL128/2009(H1N1),Pass
4,HA,CY066375,Yes,1734,H1N1,12/22/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL125/2009(H1N1),Pass
4,HA,KC780293,No,1701,H1N1,12/22/2009,IRD:Human,USA,Vermont,09-Oct,A/Vermont/30/2009,Pass
4,HA,CY066391,Yes,1734,H1N1,12/22/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL127/2009(H1N1),Pass
4,HA,CY066383,Yes,1734,H1N1,12/22/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL126/2009(H1N1),Pass
4,HA,CY066367,Yes,1734,H1N1,12/22/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL124/2009(H1N1),Pass
4,HA,CY062010,Yes,1721,H1N1,12/23/2009,IRD:Human,USA,New York,09-Oct,A/New York/7107/2009(H1N1),Pass
4,HA,KC780330,No,1701,H1N1,12/23/2009,IRD:Human,USA,South Carolina,09-Oct,A/South Carolina/46/2009,Pass
4,HA,CY065083,Yes,1734,H1N1,12/23/2009,IRD:Human,USA,New York,09-Oct,A/New York/7424/2009(H1N1),Pass
4,HA,CY061043,Yes,1734,H1N1,12/23/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS391/2009(H1N1),Pass
4,HA,CY061051,Yes,1734,H1N1,12/25/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS392/2009(H1N1),Pass
4,HA,KC780530,No,1701,H1N1,12/25/2009,IRD:Human,USA,Maryland,09-Oct,A/Maryland/37/2009,Pass
4,HA,CY062034,Yes,1721,H1N1,12/26/2009,IRD:Human,USA,New York,09-Oct,A/New York/0259/2009(H1N1),Pass
4,HA,CY061059,Yes,1734,H1N1,12/27/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS393/2009(H1N1),Pass
4,HA,CY062042,Yes,1721,H1N1,12/27/2009,IRD:Human,USA,New York,09-Oct,A/New York/0352/2009(H1N1),Pass
4,HA,KC780232,No,1701,H1N1,12/27/2009,IRD:Human,USA,Montana,09-Oct,A/Montana/25/2009,Pass
4,HA,CY062026,Yes,1721,H1N1,12/28/2009,IRD:Human,USA,New York,09-Oct,A/New York/7236/2009(H1N1),Pass
4,HA,KC780484,No,1701,H1N1,12/28/2009,IRD:Human,USA,Michigan,09-Oct,A/Michigan/28/2009,Pass
4,HA,CY072334,Yes,1734,H1N1,12/28/2009,IRD:Human,USA,New Jersey,09-Oct,A/Newark/INS319/2009(H1N1),Pass
4,HA,KC780322,Yes,1701,H1N1,12/28/2009,IRD:Human,USA,Georgia,09-Oct,A/Georgia/25/2009,Pass
4,HA,CY061067,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS394/2009(H1N1),Pass
4,HA,CY066431,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL132/2009(H1N1),Pass
4,HA,CY061075,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS395/2009(H1N1),Pass
4,HA,CY061091,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS398/2009(H1N1),Pass
4,HA,CY062058,Yes,1721,H1N1,12/30/2009,IRD:Human,USA,New York,09-Oct,A/New York/0461/2009(H1N1),Pass
4,HA,KC780671,Yes,1701,H1N1,12/30/2009,IRD:Human,USA,Nebraska,09-Oct,A/Nebraska/23/2009,Pass
4,HA,CY066423,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL131/2009(H1N1),Pass
4,HA,CY066439,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL133/2009(H1N1),Pass
4,HA,CY066415,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL130/2009(H1N1),Pass
4,HA,KC780632,No,1701,H1N1,12/30/2009,IRD:Human,USA,Rhode Island,09-Oct,A/Rhode Island/25/2009,Pass
4,HA,CY062050,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,New York,09-Oct,A/New York/0357/2009(H1N1),Pass
4,HA,CY066407,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,California,09-Oct,A/California/VRDL129/2009(H1N1),Pass
4,HA,CY061083,Yes,1734,H1N1,12/30/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS397/2009(H1N1),Pass
4,HA,CY061099,Yes,1734,H1N1,12/31/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS399/2009(H1N1),Pass
4,HA,JN171948,No,1701,H1N1,12/31/2009,IRD:Human,Canada,-N/A-,09-Oct,A/Montreal/MTL007311/2009,Pass
4,HA,KC780664,No,1701,H1N1,12/31/2009,IRD:Human,USA,Minnesota,09-Oct,A/Minnesota/38/2009,Pass
4,HA,KC780867,No,1701,H1N1,12/31/2009,IRD:Human,USA,Idaho,09-Oct,A/Idaho/17/2009,Pass
4,HA,CY061570,Yes,1735,H1N1,12/31/2009,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS400/2009(H1N1),Pass
4,HA,KC781201,No,1701,H1N1,1-1-2010,IRD:Human,USA,Kentucky,-N/A-,A/Kentucky/07/2010,Pass
4,HA,KC780408,No,1701,H1N1,1-1-2010,IRD:Human,USA,Utah,09-Oct,A/Utah/01/2010,Pass
4,HA,KC781214,No,1701,H1N1,1-1-2010,IRD:Human,USA,Kentucky,-N/A-,A/Kentucky/05/2010,Pass
4,HA,KC780547,Yes,1701,H1N1,1-1-2010,IRD:Human,USA,New Jersey,09-Oct,A/New Jersey/01/2010,Pass
4,HA,KC780307,No,1701,H1N1,1-1-2010,IRD:Human,USA,Minnesota,09-Oct,A/Minnesota/01/2010,Pass
4,HA,CY120024,Yes,1701,H1N1,1-1-2010,IRD:Human,Mexico,-N/A-,-N/A-,A/Mexico/InDRECTRLA/2010,Pass
4,HA,CY121840,Yes,1752,H1N1,2-1-2010,IRD:Human,USA,South Carolina,-N/A-,A/South Carolina/10/2010(H1N1),Pass
4,HA,KC781303,No,1701,H1N1,2-1-2010,IRD:Human,USA,Wisconsin,-N/A-,A/Wisconsin/09/2010,Pass
4,HA,CY081093,Yes,1744,H1N1,2-1-2010,IRD:Human,Canada,-N/A-,-N/A-,A/Ontario/778873/2010(H1N1),Pass
4,HA,KC780528,No,1701,H1N1,2-1-2010,IRD:Human,USA,Kansas,09-Oct,A/Kansas/01/2010,Pass
4,HA,KC781435,No,1701,H1N1,2-1-2010,IRD:Human,USA,Hawaii,09-Oct,A/Hawaii/02/2010,Pass
4,HA,KC781359,No,1701,H1N1,2-1-2010,IRD:Human,USA,Hawaii,09-Oct,A/Hawaii/02/2010,Pass
4,HA,CY065067,Yes,1734,H1N1,2-1-2010,IRD:Human,USA,New York,09-Oct,A/New York/7420/2010(H1N1),Pass
4,HA,CY061578,Yes,1734,H1N1,3-1-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS401/2010(H1N1),Pass
4,HA,KC780574,No,1701,H1N1,3-1-2010,IRD:Human,USA,New Hampshire,09-Oct,A/New Hampshire/01/2010,Pass
4,HA,KC781179,No,1701,H1N1,3-1-2010,IRD:Human,USA,Hawaii,09-Oct,A/Hawaii/01/2010,Pass
4,HA,KC781238,No,1701,H1N1,3-1-2010,IRD:Human,USA,Hawaii,09-Oct,A/Hawaii/01/2010,Pass
4,HA,KC780620,Yes,1701,H1N1,4-1-2010,IRD:Human,USA,Alabama,09-Oct,A/Alabama/01/2010,Pass
4,HA,CY061107,Yes,1734,H1N1,4-1-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS402/2010(H1N1),Pass
4,HA,CY096586,Yes,1734,H1N1,4-1-2010,IRD:Human,USA,District of Columbia,09-Oct,A/District of Columbia/INS525/2010(H1N1),Pass
4,HA,KC781903,Yes,1701,H1N1,4-1-2010,IRD:Human,USA,Alabama,09-Oct,A/Alabama/01/2010,Pass
4,HA,CY061586,Yes,1734,H1N1,4-1-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS403/2010(H1N1),Pass
4,HA,KC782014,Yes,1701,H1N1,5-1-2010,IRD:Human,USA,Iowa,09-Oct,A/Iowa/01/2010,Pass
4,HA,KC780224,Yes,1701,H1N1,5-1-2010,IRD:Human,USA,Colorado,09-Oct,A/Colorado/02/2010,Pass
4,HA,KC781020,No,1701,H1N1,5-1-2010,IRD:Human,USA,New Mexico,09-Oct,A/New Mexico/01/2010,Pass
4,HA,KC780411,Yes,1701,H1N1,6-1-2010,IRD:Human,USA,Florida,09-Oct,A/Florida/01/2010,Pass
4,HA,CY100508,No,1777,H1N1,7-1-2010,IRD:Human,Mexico,-N/A-,-N/A-,A/Mexico City/INER17/2010,Ambig-Seq 
4,HA,CY061115,Yes,1734,H1N1,8-1-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS404/2010(H1N1),Pass
4,HA,CY061123,Yes,1734,H1N1,9-1-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS405/2010(H1N1),Pass
4,HA,CY066447,Yes,1734,H1N1,9-1-2010,IRD:Human,USA,California,09-Oct,A/California/VRDL1/2010(H1N1),Pass
4,HA,KC780617,No,1701,H1N1,9-1-2010,IRD:Human,USA,North Carolina,09-Oct,A/North Carolina/02/2010,Pass
4,HA,CY061131,Yes,1734,H1N1,10-1-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS406/2010(H1N1),Pass
4,HA,CY066455,Yes,1734,H1N1,11-1-2010,IRD:Human,USA,California,09-Oct,A/California/VRDL2/2010(H1N1),Pass
4,HA,CY100514,No,1777,H1N1,11-1-2010,IRD:Human,Mexico,-N/A-,-N/A-,A/Mexico City/INER18/2010,Pass
4,HA,CY061139,Yes,1734,H1N1,11-1-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS407/2010(H1N1),Pass
4,HA,CY061147,Yes,1721,H1N1,12-1-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS408/2010(H1N1),Pass
4,HA,CY062066,Yes,1721,H1N1,12-1-2010,IRD:Human,USA,New York,09-Oct,A/New York/1680/2010(H1N1),Pass
4,HA,KC780310,No,1701,H1N1,12-1-2010,IRD:Human,USA,New York,09-Oct,A/New York/02/2010,Pass
4,HA,KC780888,Yes,1701,H1N1,12-1-2010,IRD:Human,USA,Nevada,09-Oct,A/Nevada/01/2010,Pass
4,HA,KC781895,No,1701,H1N1,12-1-2010,IRD:Human,USA,North Carolina,09-Oct,A/North Carolina/01/2010,Pass
4,HA,KC780947,No,1701,H1N1,01/13/2010,IRD:Human,USA,Texas,09-Oct,A/Texas/01/2010,Pass
4,HA,KC780646,No,1701,H1N1,01/13/2010,IRD:Human,USA,Maryland,09-Oct,A/Maryland/03/2010,Pass
4,HA,KC780419,No,1701,H1N1,01/14/2010,IRD:Human,USA,Indiana,09-Oct,A/Indiana/01/2010,Pass
4,HA,KC780235,No,1701,H1N1,01/14/2010,IRD:Human,USA,Kentucky,09-Oct,A/Kentucky/01/2010,Pass
4,HA,CY072534,Yes,1734,H1N1,01/14/2010,IRD:Human,USA,New York,09-Oct,A/New York/INS432/2010(H1N1),Pass
4,HA,CY062074,Yes,1735,H1N1,01/15/2010,IRD:Human,USA,New York,09-Oct,A/New York/1796/2010(H1N1),Pass
4,HA,KC781920,No,1701,H1N1,01/15/2010,IRD:Human,USA,Delaware,09-Oct,A/Delaware/01/2010,Pass
4,HA,KC782005,No,1701,H1N1,01/16/2010,IRD:Human,USA,Connecticut,09-Oct,A/Connecticut/01/2010,Pass
4,HA,KC781245,No,1701,H1N1,01/16/2010,IRD:Human,USA,Arizona,09-Oct,A/Arizona/01/2010,Pass
4,HA,KC780365,No,1701,H1N1,01/17/2010,IRD:Human,USA,Pennsylvania,09-Oct,A/Pennsylvania/01/2010,Pass
4,HA,CY062082,Yes,1721,H1N1,01/18/2010,IRD:Human,USA,New York,09-Oct,A/New York/1998/2010(H1N1),Pass
4,HA,KC780569,No,1701,H1N1,01/18/2010,IRD:Human,USA,Georgia,09-Oct,A/Georgia/03/2010,Pass
4,HA,CY100522,Yes,1777,H1N1,01/18/2010,IRD:Human,Mexico,-N/A-,-N/A-,A/Mexico City/INER9/2010,Ambig-Seq 
4,HA,CY062090,Yes,1720,H1N1,01/18/2010,IRD:Human,USA,New York,09-Oct,A/New York/1999/2010(H1N1),Pass
4,HA,KC782182,No,1701,H1N1,01/19/2010,IRD:Human,USA,Mississippi,09-Oct,A/Mississippi/01/2010,Pass
4,HA,CY066463,Yes,1734,H1N1,01/19/2010,IRD:Human,USA,California,09-Oct,A/California/VRDL3/2010(H1N1),Pass
4,HA,CY167772,Yes,1734,H1N1,01/19/2010,IRD:Human,USA,Tennessee,09-Oct,A/Tennessee/F1035/2010,Pass
4,HA,KC782067,No,1701,H1N1,01/19/2010,IRD:Human,USA,California,09-Oct,A/California/01/2010,Pass
4,HA,CY062098,Yes,1721,H1N1,01/19/2010,IRD:Human,USA,New York,09-Oct,A/New York/2175/2010(H1N1),Pass
4,HA,CY062114,Yes,1721,H1N1,01/20/2010,IRD:Human,USA,New York,09-Oct,A/New York/2598/2010(H1N1),Pass
4,HA,KC780334,No,1701,H1N1,01/20/2010,IRD:Human,USA,North Carolina,09-Oct,A/North Carolina/03/2010,Pass
4,HA,CY061155,Yes,1721,H1N1,01/20/2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS409/2010(H1N1),Pass
4,HA,CY062130,Yes,1734,H1N1,01/20/2010,IRD:Human,USA,New York,09-Oct,A/New York/2876/2010(H1N1),Pass
4,HA,CY062106,Yes,1721,H1N1,01/20/2010,IRD:Human,USA,New York,09-Oct,A/New York/2372/2010(H1N1),Pass
4,HA,KC780583,Yes,1701,H1N1,01/21/2010,IRD:Human,USA,Virginia,09-Oct,A/Virginia/01/2010,Pass
4,HA,CY062146,Yes,1734,H1N1,01/22/2010,IRD:Human,USA,New York,09-Oct,A/New York/2963/2010(H1N1),Pass
4,HA,CY061163,Yes,1721,H1N1,01/22/2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS410/2010(H1N1),Pass
4,HA,CY062122,Yes,1721,H1N1,01/22/2010,IRD:Human,USA,New York,09-Oct,A/New York/2648/2010(H1N1),Pass
4,HA,CY062154,Yes,1734,H1N1,01/23/2010,IRD:Human,USA,New York,09-Oct,A/New York/2971/2010(H1N1),Pass
4,HA,KC781419,No,1701,H1N1,01/23/2010,IRD:Human,USA,Kansas,09-Oct,A/Kansas/02/2010,Pass
4,HA,KC780353,No,1701,H1N1,01/23/2010,IRD:Human,USA,Alabama,09-Oct,A/Alabama/02/2010,Pass
4,HA,KC780442,No,1701,H1N1,01/24/2010,IRD:Human,USA,Georgia,09-Oct,A/Georgia/02/2010,Pass
4,HA,KC780498,Yes,1701,H1N1,01/24/2010,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/01/2010,Pass
4,HA,KC780464,Yes,1701,H1N1,01/24/2010,IRD:Human,USA,Wisconsin,09-Oct,A/Wisconsin/01/2010,Pass
4,HA,KC780426,No,1701,H1N1,01/25/2010,IRD:Human,USA,Kentucky,09-Oct,A/Kentucky/02/2010,Pass
4,HA,CY073126,No,1701,H1N1,01/25/2010,IRD:Human,Mexico,-N/A-,-N/A-,A/Mexico City/WRAIR1773T/2010(H1N1),Pass
4,HA,CY063203,Yes,1721,H1N1,01/25/2010,IRD:Human,USA,California,09-Oct,A/California/VRDL13/2010(H1N1),Pass
4,HA,CY061171,Yes,1721,H1N1,01/25/2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS411/2010(H1N1),Pass
4,HA,CY063211,Yes,1721,H1N1,01/25/2010,IRD:Human,USA,California,09-Oct,A/California/VRDL14/2010(H1N1),Pass
4,HA,CY062162,Yes,1734,H1N1,01/25/2010,IRD:Human,USA,New York,09-Oct,A/New York/3230/2010(H1N1),Pass
4,HA,CY063187,Yes,1721,H1N1,01/26/2010,IRD:Human,USA,California,09-Oct,A/California/VRDL11/2010(H1N1),Pass
4,HA,CY062170,Yes,1734,H1N1,01/26/2010,IRD:Human,USA,New York,09-Oct,A/New York/3236/2010(H1N1),Pass
4,HA,CY062138,Yes,1734,H1N1,01/26/2010,IRD:Human,USA,New York,09-Oct,A/New York/2960/2010(H1N1),Pass
4,HA,CY062186,Yes,1734,H1N1,01/26/2010,IRD:Human,USA,New York,09-Oct,A/New York/3251/2010(H1N1),Pass
4,HA,CY083535,Yes,1701,H1N1,01/26/2010,IRD:Human,Mexico,-N/A-,-N/A-,A/Mexico City/WRAIR1752N/2010(H1N1),Pass
4,HA,KC780871,No,1701,H1N1,01/26/2010,IRD:Human,USA,California,09-Oct,A/California/03/2010,Pass
4,HA,CY062178,Yes,1734,H1N1,01/27/2010,IRD:Human,USA,New York,09-Oct,A/New York/3250/2010(H1N1),Pass
4,HA,KC780661,Yes,1701,H1N1,01/27/2010,IRD:Human,USA,South Carolina,09-Oct,A/South Carolina/01/2010,Pass
4,HA,KC781448,No,1701,H1N1,01/27/2010,IRD:Human,USA,Michigan,09-Oct,A/Michigan/01/2010,Pass
4,HA,CY065027,Yes,1733,H1N1,01/27/2010,IRD:Human,USA,New York,09-Oct,A/New York/3835/2010(H1N1),Flag-NCR
4,HA,CY065019,Yes,1734,H1N1,01/27/2010,IRD:Human,USA,New York,09-Oct,A/New York/3834/2010(H1N1),Pass
4,HA,CY063195,Yes,1721,H1N1,01/27/2010,IRD:Human,USA,California,09-Oct,A/California/VRDL12/2010(H1N1),Pass
4,HA,KC780447,No,1701,H1N1,01/28/2010,IRD:Human,USA,Nebraska,09-Oct,A/Nebraska/01/2010,Pass
4,HA,CY065035,Yes,1733,H1N1,01/29/2010,IRD:Human,USA,New York,09-Oct,A/New York/3866/2010(H1N1),Flag-NCR
4,HA,CY061179,Yes,1739,H1N1,1-2-2010,IRD:Human,USA,Texas,09-Oct,A/Texas/JMS412/2010(H1N1),Pass
4,HA,CY066487,Yes,1734,H1N1,1-2-2010,IRD:Human,USA,California,09-Oct,A/California/VRDL7/2010(H1N1),Pass
4,HA,KC780315,No,1701,H1N1,1-2-2010,IRD:Human,USA,Massachusetts,09-Oct,A/Massachusetts/01/2010,Pass
4,HA,KC780601,Yes,1701,H1N1,1-2-2010,IRD:Human,USA,California,09-Oct,A/California/02/2010,Pass
4,HA,KC780949,No,1701,H1N1,1-2-2010,IRD:Human,USA,New Mexico,09-Oct,A/New Mexico/02/2010,Pass
4,HA,KC780290,No,1701,H1N1,1-2-2010,IRD:Human,USA,Colorado,09-Oct,A/Colorado/03/2010,Pass
4,HA,CY065003,Yes,1734,H1N1,1-2-2010,IRD:Human,USA,New York,09-Oct,A/New York/3682/2010(H1N1),Pass
